# Time	forces(pressure, viscous) moment(pressure, viscous)
50	(((2.3742e-07 3.38864e-09 4.44032e-16) (3.21197e-07 -4.89928e-10 4.7563e-12)) ((-3.25116e-12 -4.36942e-12 2.83954e-16) (-1.22622e-12 3.82506e-12 -3.04391e-10)))
51	(((2.36439e-07 3.43469e-09 4.1962e-16) (3.1291e-07 -5.02088e-10 4.09912e-12)) ((-3.05626e-12 -4.26896e-12 2.79606e-16) (-1.18118e-12 3.73474e-12 -2.94939e-10)))
52	(((2.35504e-07 3.46055e-09 4.32765e-16) (3.04992e-07 -5.14176e-10 4.8618e-12)) ((-2.87469e-12 -4.14128e-12 2.72945e-16) (-1.18425e-12 3.63513e-12 -2.85887e-10)))
53	(((2.34582e-07 3.47373e-09 4.25649e-16) (2.97425e-07 -5.25725e-10 5.28983e-12)) ((-2.48053e-12 -4.00981e-12 2.67845e-16) (-1.19324e-12 3.52753e-12 -2.77232e-10)))
54	(((2.33674e-07 3.45155e-09 4.03056e-16) (2.90189e-07 -5.36829e-10 5.48518e-12)) ((-2.3522e-12 -3.93972e-12 2.61373e-16) (-1.12724e-12 3.41444e-12 -2.68976e-10)))
55	(((2.32794e-07 3.4129e-09 4.12698e-16) (2.83269e-07 -5.47125e-10 5.51269e-12)) ((-2.21886e-12 -3.95015e-12 2.55769e-16) (-1.07977e-12 3.33435e-12 -2.61109e-10)))
56	(((2.31927e-07 3.41807e-09 3.92036e-16) (2.7665e-07 -5.56813e-10 5.94415e-12)) ((-1.87088e-12 -3.84144e-12 2.49642e-16) (-1.05809e-12 3.24074e-12 -2.53578e-10)))
57	(((2.31086e-07 3.38893e-09 3.96484e-16) (2.70317e-07 -5.65706e-10 5.80091e-12)) ((-1.75554e-12 -3.77562e-12 2.43965e-16) (-1.01708e-12 3.14968e-12 -2.46366e-10)))
58	(((2.30293e-07 3.34136e-09 4.07428e-16) (2.64255e-07 -5.74622e-10 5.94823e-12)) ((-1.57817e-12 -3.72724e-12 2.38018e-16) (-1.02709e-12 3.06279e-12 -2.39456e-10)))
59	(((2.29554e-07 3.32547e-09 4.06525e-16) (2.58449e-07 -5.83245e-10 5.96377e-12)) ((-1.35297e-12 -3.68376e-12 2.31939e-16) (-1.03181e-12 2.98254e-12 -2.32818e-10)))
