# Time	forces(pressure, viscous) moment(pressure, viscous)
0.318088	(((-1.06189e-05 -6.6298e-09 -1.36952e-10) (-2.33244e-06 5.95885e-09 7.69357e-10)) ((2.90603e-10 -4.66748e-11 -4.56952e-10) (-1.41245e-10 -1.24466e-11 3.07255e-09)))
0.338088	(((-1.02634e-05 2.03961e-08 -5.23463e-10) (-2.26653e-06 -4.92355e-09 -1.79432e-09)) ((3.08591e-10 -3.9894e-11 -6.31374e-10) (6.36435e-12 -6.26267e-11 2.00811e-09)))
0.358088	(((-1.03783e-05 7.97848e-09 7.7e-11) (-2.46401e-06 -3.39977e-08 7.92962e-10)) ((4.59563e-11 -7.45361e-11 2.42834e-10) (1.18998e-10 -1.79946e-10 1.89474e-09)))
0.378088	(((-1.00548e-05 3.07581e-08 0) (-2.46851e-06 -2.73866e-07 4.52711e-09)) ((9.83074e-11 8.07474e-11 1.26552e-09) (4.66371e-10 6.68868e-11 -2.71187e-09)))
0.398088	(((-9.74302e-06 2.34103e-09 -1.62894e-09) (-2.42069e-06 -3.89518e-08 4.84215e-09)) ((9.83884e-11 -6.76802e-11 3.65857e-10) (3.76465e-10 -1.26564e-10 -1.08166e-09)))
0.418088	(((-9.53567e-06 2.01299e-09 0) (-2.52445e-06 -8.06944e-08 2.05943e-10)) ((2.09666e-11 -1.12951e-10 8.06065e-11) (5.70617e-10 -1.43582e-10 -2.47913e-09)))
0.438088	(((-9.29615e-06 -1.36001e-08 0) (-2.39836e-06 8.06729e-08 2.40085e-09)) ((4.75538e-11 -7.51086e-11 -6.33125e-11) (1.9269e-10 -8.73331e-11 4.83012e-09)))
0.458088	(((-9.10518e-06 9.00634e-09 -1.81521e-09) (-2.4225e-06 -4.06142e-08 1.8729e-11)) ((9.99672e-11 -8.18051e-11 -7.3397e-11) (3.56963e-10 -1.28429e-10 -1.04696e-09)))
0.478088	(((-8.52345e-06 -3.65802e-08 -2.06877e-09) (-2.40937e-06 4.52415e-08 7.74141e-10)) ((1.12036e-10 -8.8747e-11 -3.87079e-10) (-2.64945e-11 -6.71289e-11 8.02487e-09)))
0.498088	(((-8.43343e-06 -3.38602e-08 -1.6254e-09) (-2.20384e-06 2.19623e-08 9.47992e-10)) ((6.01657e-11 -8.0486e-11 -4.28685e-10) (-4.21216e-11 -3.58004e-11 7.35457e-09)))
0.518088	(((-8.39478e-06 1.81553e-08 -1.53436e-11) (-2.42778e-06 -1.84671e-08 2.60481e-09)) ((1.86997e-10 5.87173e-11 6.12313e-10) (3.62479e-11 -6.63745e-11 -1.20097e-09)))
0.538088	(((-7.66782e-06 2.08125e-08 2.25015e-10) (-2.51343e-06 6.69058e-09 -4.81603e-11)) ((6.08988e-11 -2.65594e-11 5.46614e-11) (-5.25049e-11 -7.3444e-11 1.76322e-09)))
0.558088	(((-8.38216e-06 -8.22179e-09 -9.48627e-10) (-2.27645e-06 4.3586e-08 3.41439e-09)) ((1.95535e-10 -9.04608e-11 -3.30391e-10) (3.4492e-12 -1.3604e-10 4.00026e-09)))
0.578088	(((-8.3301e-06 -6.195e-09 -2.89226e-10) (-2.15127e-06 4.5888e-08 8.0886e-10)) ((1.11466e-10 -8.06883e-11 -4.689e-11) (-5.58012e-11 -1.14582e-10 6.62955e-09)))
0.598088	(((-8.26183e-06 1.73867e-08 -5.25422e-10) (-2.46181e-06 -4.55976e-08 -1.80205e-09)) ((2.11326e-10 -7.52257e-11 -5.44706e-10) (1.74756e-11 4.78977e-11 5.81496e-09)))
0.618088	(((-8.70853e-06 1.24406e-08 6.85321e-10) (-2.41682e-06 -1.0725e-07 2.80225e-09)) ((1.85949e-10 9.77082e-12 5.43871e-10) (3.09419e-10 1.24216e-10 1.71847e-09)))
