# Time	forces(pressure, viscous) moment(pressure, viscous)
51	(((2.72347e-07 2.74502e-09 4.14687e-16) (6.72795e-07 -2.36618e-09 3.32195e-11)) ((-8.62992e-12 -1.12136e-13 -1.18996e-15) (-1.29045e-11 3.74019e-12 -8.35282e-10)))
52	(((2.71188e-07 2.70797e-09 4.59374e-16) (6.56763e-07 -2.29824e-09 3.26157e-11)) ((-8.16782e-12 -1.26911e-13 -1.15551e-15) (-1.23982e-11 3.69266e-12 -8.14598e-10)))
53	(((2.70101e-07 2.63271e-09 5.19944e-16) (6.41317e-07 -2.23307e-09 3.03929e-11)) ((-7.61405e-12 -1.31808e-13 -1.12566e-15) (-1.20306e-11 3.61647e-12 -7.94527e-10)))
54	(((2.68997e-07 2.61666e-09 4.78193e-16) (6.26432e-07 -2.17012e-09 3.06953e-11)) ((-7.3091e-12 -2.73867e-14 -1.09432e-15) (-1.15114e-11 3.51506e-12 -7.75012e-10)))
55	(((2.6796e-07 2.58301e-09 4.62004e-16) (6.12075e-07 -2.10888e-09 3.04874e-11)) ((-6.80279e-12 8.11385e-15 -1.06499e-15) (-1.10788e-11 3.4616e-12 -7.56081e-10)))
56	(((2.66883e-07 2.59925e-09 3.79461e-16) (5.98222e-07 -2.05088e-09 2.98015e-11)) ((-6.58287e-12 8.57142e-14 -1.03407e-15) (-1.062e-11 3.40542e-12 -7.37787e-10)))
57	(((2.65835e-07 2.51576e-09 3.45408e-16) (5.8485e-07 -1.99455e-09 2.75065e-11)) ((-6.52273e-12 -2.8848e-14 -1.0055e-15) (-1.01286e-11 3.38768e-12 -7.20231e-10)))
58	(((2.64783e-07 2.51932e-09 2.87897e-16) (5.71933e-07 -1.94172e-09 2.58703e-11)) ((-6.37444e-12 -1.6599e-14 -9.77153e-16) (-9.68598e-12 3.36892e-12 -7.03273e-10)))
59	(((2.63747e-07 2.40704e-09 2.14701e-16) (5.59455e-07 -1.89052e-09 2.37816e-11)) ((-6.08504e-12 2.44772e-14 -9.50215e-16) (-9.27649e-12 3.33597e-12 -6.86958e-10)))
60	(((2.62775e-07 2.33312e-09 2.05124e-16) (5.47393e-07 -1.84223e-09 2.08463e-11)) ((-5.96342e-12 -1.5559e-13 -9.26607e-16) (-8.8837e-12 3.34859e-12 -6.71204e-10)))
61	(((2.61813e-07 2.25701e-09 1.86273e-16) (5.35733e-07 -1.79596e-09 1.87148e-11)) ((-5.77506e-12 -9.06422e-14 -8.9763e-16) (-8.52891e-12 3.3148e-12 -6.55949e-10)))
